id	兑换物品	兑换奖励	兑换最大次数	是否为专武(填佣兵ID)	排序ID
	10000_1001_3000	30000_250005_1	0	0	
975	10000_1001_1000	30000_250001_1	1	0	201
976	10000_1001_1500	30000_250002_1	1	0	202
977	10000_1001_3000	30000_250003_1	1	0	203
978	10000_1001_5000	30000_250004_1	1	0	204
979	30000_299992_1	70000_103_5	4	0	113
980	30000_106011_1	70000_118_5	24	0	8
981	30000_299992_1	30000_104211_120	199	0	101
982	30000_299992_3	10000_1011_500	99	0	102
983	30000_299992_3	30000_104201_5	99	0	103
984	30000_299992_3	30000_104002_5	99	0	104
985	30000_299992_3	30000_101001_100	99	0	105
986	30000_299992_3	30000_104001_10	99	0	106
987	30000_299992_1	30000_5008_25	30	0	107
988	30000_299992_1	30000_5005_25	30	0	108
989	30000_299992_1	30000_5006_25	30	0	109
990	30000_299992_1	30000_5007_25	30	0	110
991	30000_299992_1	30000_5004_25	30	0	111
992	30000_299992_1	30000_5003_25	30	0	112
993	30000_106011_1	30000_299992_3	999	0	1
994	30000_106011_1	30000_104212_15	999	0	2
995	30000_106011_1	30000_106001_15	999	0	3
996	30000_106011_1	30000_101002_3	199	0	4
997	30000_106011_2	30000_104003_5	199	0	5
998	30000_106011_2	30000_104202_5	199	0	6
999	30000_106011_3	30000_104101_1	50	0	7
