id	name	content	questType	team	needCount	排序ID	任务奖励数量	任务图标	是否跳转	跳转地址	显示类型	图标颜色	targetType
1001001	@QuestName_050	@QuestContent_050_2	2	3	2	1	20	Item/2.png	1	36	0	5	56
1001002	@QuestName_050	@QuestContent_050_4	2	3	4	2	20	Item/2.png	1	36	0	5	56
1001003	@QuestName_050	@QuestContent_050_6	2	3	6	3	20	Item/2.png	1	36	0	5	56
1001004	@QuestName_050	@QuestContent_050_8	2	3	8	4	20	Item/2.png	1	36	0	5	56
1001005	@QuestName_050	@QuestContent_050_10	2	3	10	5	20	Item/2.png	1	36	0	5	56
1001006	@QuestName_050	@QuestContent_050_12	2	3	12	6	20	Item/2.png	1	36	0	5	56
1001007	@QuestName_051	@QuestContent_051_2	2	4	2	7	20	Item/2.png	1	36	0	5	57
1001008	@QuestName_051	@QuestContent_051_4	2	4	4	8	20	Item/2.png	1	36	0	3	57
1001009	@QuestName_051	@QuestContent_051_6	2	4	6	9	20	Item/2.png	1	36	0	5	57
1001010	@QuestName_051	@QuestContent_051_8	2	4	8	10	50	Item/2.png	1	36	0	5	57
1001011	@QuestName_051	@QuestContent_051_10	2	4	10	11	50	Item/2.png	1	36	0	5	57
1001012	@QuestName_051	@QuestContent_051_12	2	4	12	12	20	Item/2.png	1	36	0	5	57
1001013	@QuestName_067	@QuestContent_067_1	2	7	1	13	50	Item/2.png	1	36	0	5	63
1001014	@QuestName_067	@QuestContent_067_2	2	7	3	14	100	Item/2.png	1	36	0	5	63
1001015	@QuestName_067	@QuestContent_067_3	2	7	6	15	200	Item/2.png	1	36	0	5	63
1001016	@QuestName_229	@QuestContent_079_0	2	20	1	16	10	Item/2.png	0	NULL	0	5	25
1001017	@QuestName_202	@QuestContent_079_1	2	20	2	17	20	Item/2.png	0	NULL	0	5	25
1001018	@QuestName_230	@QuestContent_079_2	2	20	3	18	30	Item/2.png	0	NULL	0	5	25
1001019	@QuestName_231	@QuestContent_079_3	2	20	4	19	2	Item/I_7012.png	0	NULL	0	3	25
1001020	@QuestName_232	@QuestContent_079_4	2	20	5	20	2	Item/I_7012.png	0	NULL	0	2	25
1001021	@QuestName_233	@QuestContent_079_5	2	20	10	21	2	Item/I_7012.png	0	NULL	0	5	25
1001022	@QuestName_234	@QuestContent_079_6	2	20	30	22	2	Item/I_7012.png	0	NULL	0	5	25
1001023	@QuestName_235	@QuestContent_079_7	2	20	40	23	2	Item/I_7012.png	0	NULL	0	5	25
1001024	@QuestName_236	@QuestContent_079_8	2	20	50	24	2	Item/I_7012.png	0	NULL	0	4	25
1001025	@QuestName_237	@QuestContent_079_9	2	20	60	25	2	Item/I_7012.png	0	NULL	0	6	25
1001026	@QuestName_238	@QuestContent_079_10	2	20	70	26	2	Item/I_7012.png	0	NULL	0	5	25
1001027	@QuestName_239	@QuestContent_079_11	2	20	80	27	120	Item/2.png	0	NULL	0	5	25
1001028	@QuestName_240	@QuestContent_079_12	2	20	90	28	130	Item/2.png	0	NULL	0	5	25
1001029	@QuestName_241	@QuestContent_079_13	2	20	100	29	140	Item/2.png	0	NULL	0	3	25
