id	类型	奖励
1	1	70000_147_2
2	1	70000_147_5
3	1	70000_147_10
4	1	70000_147_120
5	2	70000_147_120
6	2	70000_152_120
7	2	70000_122_120
8	2	70000_162_120
9	2	70000_136_120
10	2	70000_113_120
11	2	70000_120_120
12	2	70000_147_10
13	2	70000_152_10
14	2	70000_122_10
15	2	70000_162_10
16	2	70000_136_10
17	2	70000_113_10
18	2	70000_120_10
19	2	70000_147_5
20	2	70000_152_5
21	2	70000_122_5
22	2	70000_162_5
23	2	70000_136_5
24	2	70000_113_5
25	2	70000_120_5
26	2	70000_147_2
27	2	70000_152_2
28	2	70000_122_2
29	2	70000_162_2
30	2	70000_136_2
31	2	70000_113_2
32	2	70000_120_2
