id	职业(profession)	等级(level）	名字(name)	技能(skills)	怪物头像路径	怪物类型	spineId	半身像	spine	spineScale	offset	is镜像
1	2001	1	@Monster_1	0	monster/M_1_01.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
2	2001	1	@Monster_2	0	monster/M_1_01.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
3	2001	1	@Monster_3	0	monster/M_1_02.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
4	2001	2	@Monster_3	0	monster/M_1_02.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
5	2001	2	@Monster_5	0	monster/M_1_01.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
6	2001	3	@Monster_6	0	monster/M_1_02.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
7	2001	4	@Monster_7	0	monster/M_1_03.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
8	2001	3	@Monster_8	0	monster/M_1_02.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
9	2001	4	@Monster_9	0	monster/M_1_04.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
10	2001	5	@Monster_10	0	monster/M_1_03.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
11	2001	6	@Monster_11	0	monster/M_1_05.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
12	2001	5	@Monster_12	0	monster/M_1_04.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
13	2001	6	@Monster_13	0	monster/M_1_03.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
14	2001	7	@Monster_14	0	monster/M_1_06.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
15	2001	8	@Monster_15	0	monster/M_1_05.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
16	2001	7	@Monster_16	0	monster/M_3_07.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
17	2001	8	@Monster_17	0	monster/M_3_07.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
18	2001	9	@Monster_18	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
19	2001	10	@Monster_19	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
20	2001	9	@Monster_20	0	monster/M_2_07.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
21	2001	10	@Monster_21	0	monster/M_2_07.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
22	2001	11	@Monster_22	0	monster/M_2_08.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
23	2001	12	@Monster_23	0	monster/M_2_06.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
24	2001	11	@Monster_24	0	monster/M_2_04.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
25	2001	12	@Monster_25	0	monster/M_2_04.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
26	2001	13	@Monster_26	0	monster/M_2_06.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
27	2001	14	@Monster_27	0	monster/M_2_09.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
28	2001	13	@Monster_28	0	monster/M_3_04.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
29	2001	14	@Monster_29	0	monster/M_3_07.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
30	2001	15	@Monster_30	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
31	2001	16	@Monster_31	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
32	2001	15	@Monster_32	0	monster/M_3_04.png	0	0	HalfBody/monster/Monster_02.png	0	1	0,0	0
33	2001	16	@Monster_33	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_03.png	0	1	0,0	0
34	2001	17	@Monster_34	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_04.png	0	1	0,0	0
35	2001	18	@Monster_35	0	monster/M_3_08.png	0	0	HalfBody/monster/Monster_05.png	0	1	0,0	0
36	2001	17	@Monster_36	0	monster/M_4_03.png	0	0	HalfBody/monster/Monster_01.png	0	1	0,0	0
