id	类型	奖励
1	1	70000_1_2
2	1	70000_2_2
3	1	70000_3_2
4	1	70000_4_2
5	1	70000_5_2
6	1	70000_6_2
7	1	70000_7_2
8	1	70000_8_2
9	1	70000_9_2
10	1	70000_10_2
11	1	70000_11_2
12	1	70000_12_2
13	1	70000_13_2
14	1	70000_14_2
15	1	70000_15_2
16	1	70000_16_2
17	1	70000_17_2
18	1	70000_18_2
19	1	70000_1_5
20	1	70000_2_5
21	1	70000_3_5
22	1	70000_4_5
23	1	70000_5_5
24	1	70000_6_5
25	1	70000_7_5
26	1	70000_8_5
27	1	70000_9_5
28	1	70000_10_5
29	1	70000_11_5
30	1	70000_12_5
31	1	70000_13_5
32	1	70000_14_5
33	1	70000_15_5
34	1	70000_16_5
35	1	70000_17_5
36	1	70000_18_5
37	1	70000_1_10
38	1	70000_2_10
39	1	70000_3_10
40	1	70000_4_10
41	1	70000_5_10
42	1	70000_6_10
43	1	70000_7_10
44	1	70000_8_10
45	1	70000_9_10
46	1	70000_10_10
47	1	70000_11_10
48	1	70000_12_10
49	1	70000_13_10
50	1	70000_14_10
51	1	70000_15_10
52	1	70000_16_10
53	1	70000_17_10
54	1	70000_18_10
55	1	70000_1_60
56	1	70000_2_60
57	1	70000_3_60
58	1	70000_4_60
59	1	70000_5_60
60	1	70000_6_60
61	1	70000_7_60
62	1	70000_8_60
63	1	70000_9_60
64	1	70000_10_60
65	1	70000_11_60
66	1	70000_12_60
67	1	70000_13_60
68	1	70000_14_60
69	1	70000_15_60
70	1	70000_16_60
71	1	70000_17_60
72	1	70000_18_60
