id	类型	奖励
1	1	70000_4_30
2	1	70000_5_30
3	1	70000_6_30
4	1	70000_10_30
5	1	70000_11_30
6	1	70000_12_30
7	1	70000_16_30
8	1	70000_17_30
9	1	70000_18_30
10	1	70000_1_60
11	1	70000_2_60
12	1	70000_3_60
13	1	70000_7_60
14	1	70000_8_60
15	1	70000_9_60
16	1	70000_13_60
17	1	70000_14_60
18	1	70000_15_60
19	1	70000_19_60
20	1	70000_21_60
21	1	70000_22_60
22	1	70000_24_60
23	1	30000_6005_1
24	1	30000_6006_1
25	1	30000_6007_1
26	1	30000_10101_50
27	1	30000_10201_50
28	1	30000_10301_50
29	1	30000_10401_50
30	1	30000_10501_50
31	1	30000_10601_50
32	1	30000_10701_50
33	1	30000_10801_50
34	1	30000_10901_50
35	1	30000_11001_50
36	1	30000_11101_50
37	1	30000_11201_50
38	1	30000_11301_50
39	1	30000_11401_50
40	1	30000_11501_50
41	1	30000_11601_50
42	1	30000_11701_50
43	1	30000_11801_50
44	1	30000_11901_50
45	1	30000_12101_50
46	1	30000_12201_50
47	1	30000_12401_50
48	2	70000_1_60
49	2	70000_2_60
50	2	70000_3_60
51	2	70000_7_60
52	2	70000_8_60
53	2	70000_9_60
54	2	70000_13_60
55	2	70000_14_60
56	2	70000_15_60
