id	awards
1	30000_6004_10
2	30000_6004_10
3	30000_6004_10
4	30000_6004_10
5	30000_6004_10
6	30000_6004_10
7	30000_6004_10
8	30000_6004_10
9	30000_6004_10
10	30000_6004_10
11	30000_6004_10
12	30000_6004_10
13	30000_6004_10
14	30000_6004_10
15	30000_6004_10
16	30000_6004_10
17	30000_6004_10
18	30000_6004_10
19	30000_6004_10
20	30000_6004_10
21	30000_6004_10
22	30000_6004_10
23	30000_6004_10
24	30000_6004_10
25	30000_6004_10
26	30000_6004_10
27	30000_6004_10
28	30000_6004_10
29	30000_6004_10
30	30000_6004_10
